VCD info: dumpfile tb_counter.vcd opened for output.
Time	clk	rst	out	
  0ns	0	0	xxxxxxxx
  5ns	1	0	00000000
 10ns	0	0	00000000
 15ns	1	0	00000000
 20ns	0	1	00000000
 25ns	1	1	00000001
 30ns	0	1	00000001
 35ns	1	1	00000010
 40ns	0	1	00000010
 45ns	1	1	00000011
 50ns	0	1	00000011
 55ns	1	1	00000100
 60ns	0	1	00000100
 65ns	1	1	00000101
 70ns	0	1	00000101
 75ns	1	1	00000110
 80ns	0	1	00000110
 85ns	1	1	00000111
 90ns	0	1	00000111
 95ns	1	1	00001000
100ns	0	1	00001000
105ns	1	1	00001001
110ns	0	1	00001001
115ns	1	1	00001010
120ns	0	0	00001010
125ns	1	0	00000000
130ns	0	0	00000000
135ns	1	0	00000000
140ns	0	1	00000000
145ns	1	1	00000001
150ns	0	1	00000001
155ns	1	1	00000010
160ns	0	1	00000010
165ns	1	1	00000011
170ns	0	1	00000011
175ns	1	1	00000100
180ns	0	1	00000100
185ns	1	1	00000101
190ns	0	1	00000101
195ns	1	1	00000110
200ns	0	1	00000110
205ns	1	1	00000111
210ns	0	1	00000111
215ns	1	1	00001000
220ns	0	1	00001000
